年次,公園分類,公園数,利用者数
昭和45年,都道府県立自然公園,279,"200,584"
昭和46年,都道府県立自然公園,279,"193,210"
昭和47年,都道府県立自然公園,286,"200,010"
昭和48年,都道府県立自然公園,287,"212,760"
昭和49年,都道府県立自然公園,290,"220,000"
昭和50年,都道府県立自然公園,293,"218,810"
昭和51年,都道府県立自然公園,290,"220,220"
昭和52年,都道府県立自然公園,292,"220,130"
昭和53年,都道府県立自然公園,291,"228,430"
昭和54年,都道府県立自然公園,291,"227,960"
昭和55年,都道府県立自然公園,293,"220,640"
昭和56年,都道府県立自然公園,294,"235,500"
昭和57年,都道府県立自然公園,294,"230,940"
昭和58年,都道府県立自然公園,297,"235,930"
昭和59年,都道府県立自然公園,298,"243,310"
昭和60年,都道府県立自然公園,298,"246,870"
昭和61年,都道府県立自然公園,298,"255,580"
昭和62年,都道府県立自然公園,299,"262,450"
昭和63年,都道府県立自然公園,300,"264,540"
平成1年,都道府県立自然公園,300,"276,270"
平成2年,都道府県立自然公園,299,"283,930"
平成3年,都道府県立自然公園,299,"285,850"
平成4年,都道府県立自然公園,301,"286,040"
平成5年,都道府県立自然公園,301,"269,650"
平成6年,都道府県立自然公園,301,"283,380"
平成7年,都道府県立自然公園,302,"274,330"
平成8年,都道府県立自然公園,304,"276,940"
平成9年,都道府県立自然公園,305,"271,580"
平成10年,都道府県立自然公園,306,"264,660"
平成11年,都道府県立自然公園,307,"274,537"
平成12年,都道府県立自然公園,307,"273,644"
平成13年,都道府県立自然公園,308,"269,760"
平成14年,都道府県立自然公園,308,"270,182"
平成15年,都道府県立自然公園,308,"265,716"
平成16年,都道府県立自然公園,309,"266,123"
平成17年,都道府県立自然公園,309,"259,475"
平成18年,都道府県立自然公園,309,"264,017"
平成19年,都道府県立自然公園,309,"267,857"
平成20年,都道府県立自然公園,309,"257,332"
平成21年,都道府県立自然公園,311,"264,832"
平成22年,都道府県立自然公園,312,"261,328"
平成23年,都道府県立自然公園,314,"228,856"
平成24年,都道府県立自然公園,315,"237,215"
平成25年,都道府県立自然公園,314,"239,618"
平成26年,都道府県立自然公園,314,"242,426"
平成27年,都道府県立自然公園,312,"248,538"
平成28年,都道府県立自然公園,311,"245,464"
